요양기관명,중분류,시군구,시도,주소,위도,경도
연세소아청소년과의원,31190,용인시,경기도,"경기도 용인시 수지구 정평로 40-1, 3층 303호 (풍덕천동, 거묵상가1)",37.3199664,127.0876104
누가소아청소년과의원,31150,시흥시,경기도,"경기도 시흥시 함송로 21, (정왕동, 굿모닝프라자)",37.3637614,126.7307376
우리들의원,24040,북구,광주광역시,"광주광역시 북구 매곡로 56, 2,5층 (매곡동)",35.1901426,126.894185
튼튼소아과의원,23060,부평구,인천광역시,"인천광역시 부평구 안남로 261, (산곡동)",37.5061811,126.7085832
쥬라기소아청소년과의원,26040,북구,울산광역시,"울산광역시 북구 박상진12로 11, 지오타워 4층 403~405호 (송정동)",35.6014868,129.3653166
사랑의원,31250,광주시,경기도,"경기도 광주시 경충대로1480번길 5, 이레타워 2층 201,203호 (쌍령동)",37.4017068,127.2717753
복음연합의원,24020,서구,광주광역시,"광주광역시 서구 염화로 83, 2층 (화정동)",35.1420564,126.8740867
순천향소아과의원,37050,구미시,경상북도,"경상북도 구미시 비산로1길 20, (비산동)",36.1215099,128.3744857
이혜경소아청소년과의원,31180,하남시,경기도,"경기도 하남시 신장로 159, 2층 (덕풍동)",37.5399274,127.2013554
연소아청소년과의원,31040,안양시,경기도,"경기도 안양시 동안구 관악대로 387, 201호 (관양동)",37.4049335,126.9658332
