요양기관명,시도코드명,시군구코드명,주소,위도,경도
(사)인구보건복지협회 부산시지회 가족보건의원,부산광역시,부산수영구,"부산광역시 수영구 수영로 425, (남천동)",35.1440974,129.1089355
(사)인구보건복지협회 충북세종지회 가족보건의원,충청북도,청주흥덕구,"충청북도 청주시 흥덕구 내수동로 20, (복대동, 모자보건센타)",36.6329966,127.4495276
(사단법인)한국건강관리협회건강증진의원,광주광역시,광주서구,"광주광역시 서구 대남대로 432, 한국건강관리협회 지하2~지상7층 (농성동)",35.1490371,126.8883423
(사회복지법인)한국혈우재단광주의원,광주광역시,광주서구,"광주광역시 서구 죽봉대로 66, 4층 (농성동)",35.1590996,126.8837987
(재)한국산업보건연구재단 서울DMC건강의원 포항분원,경상북도,포항남구,"경상북도 포항시 남구 오천읍 중원로 71-11, 1동 1층 101호",35.97533,129.4002401
(재)한국의학연구소대구분사무소부설의원,대구광역시,대구중구,"대구광역시 중구 중앙대로66길 20, 지하1~2층 (남산동, 반월당효성해링턴플레이스)",35.8613112,128.5933014
(재)한국의학연구소한국중부의원,서울특별시,종로구,"서울특별시 종로구 세종대로23길 54, (당주동)",37.5718638,126.9733154
(홍인의료소비자생활협동조합)우리현대의원,경기도,용인처인구,"경기도 용인시 처인구 양지면 양지로 137, (우리현대의원)",37.23469190000001,127.2836714
21세기소아청소년과의원,강원도,원주시,"강원특별자치도 원주시 봉화로 27, (단계동)",37.3469191,127.9282577
21세기연합소아과의원,대구광역시,대구수성구,"대구광역시 수성구 화랑로 122, (만촌동)",35.87349409999999,128.6400784
365굿닥터의원,경기도,하남시,"경기도 하남시 미사강변동로 85, 힐스테이트 에코 미사 3층 309~310, 327~328호 (망월동)",37.5627124,127.1923337
365그린가족의원,경기도,평택시,"경기도 평택시 지제동삭1로 41, 130동 2층 근생35호 (지제동, 지제역 더샵 센트럴시티)",37.0206505,127.0903729
365별소아청소년과의원,인천광역시,인천서구,"인천광역시 서구 가정로 375, 3층 302호 (신현동, 금강아미움)",37.5184789,126.6726053
365삼성i소아청소년과의원,경기도,파주시,"경기도 파주시 교하로 87, 8층 (목동동, 삼성프라자)",37.72761029999999,126.7339879
365서울소아청소년과의원,경기도,고양덕양구,"경기도 고양시 덕양구 화중로 66-0, (화정동, 롯데마트)",37.632955,126.8311323
365소아청소년과의원,경기도,여주시,"경기도 여주시 세종로 31, 동부빌딩 204호 (홍문동)",37.294354,127.6378086
365소아청소년과의원,울산광역시,울산동구,"울산광역시 동구 방어진순환도로 645, 5층 (일산동)",35.4994166,129.4280896
365소아청소년과의원,경기도,김포시,"경기도 김포시 김포한강4로 113, 503,504호 (장기동, 신한프라자)",37.643992,126.6683865
365아이랑소아청소년과의원,경기도,수원영통구,"경기도 수원시 영통구 중부대로 604, 1층 (영통동, 수원영통리슈빌스카이오피스텔)",37.2672399,127.0813568
365연합소아청소년과의원,경상남도,김해시,"경상남도 김해시 주촌면 천곡로 6, 401호",35.2340266,128.8391563
365열린메디칼의원,경기도,수원권선구,"경기도 수원시 권선구 금곡로 202, e-SPACE CITY-1 (금곡동)",37.2734904,126.9526603
365열린메디컬의원,경기도,고양덕양구,"경기도 고양시 덕양구 중앙로 612, 3층,4층 (화정동)",37.62696589999999,126.8306882
365이화웃는세상의원,서울특별시,은평구,"서울특별시 은평구 진관3로 11, 208호, 301호 (진관동, 은평뉴타운 힐데스하임)",37.6392669,126.9183763
365제이에스JS연합의원,경기도,시흥시,"경기도 시흥시 승지로59번길 12, 시티타워 3층 302~303호 (능곡동)",37.3690309,126.8090669
365키즈소아청소년과의원,경기도,의왕시,"경기도 의왕시 포일로 43, (내손동, 대림프라자 402호 )",37.3900973,126.9774322
365힐링의원,서울특별시,강동구,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",37.5423971,127.1333056
99서울소아청소년과의원,부산광역시,부산동래구,"부산광역시 동래구 금강로 91, 지상 4~6층 (온천동)",35.2171736,129.0784101
ABC김광우소아청소년과의원,경상북도,포항북구,"경상북도 포항시 북구 두호로 21, (두호동)",36.0596834,129.3760765
Dr홍연합의원,서울특별시,송파구,"서울특별시 송파구 토성로 58, (풍납동, 도원빌딩 2층)",37.5289172,127.1160204
SC제일산부인과의원,서울특별시,광진구,"서울특별시 광진구 광나루로 506, (구의동)",37.5447537,127.0856732
가나다소아청소년과의원,충청남도,당진시,"충청남도 당진시 송악읍 반촌로 70-16, 대훈빌딩 2층",36.9021754,126.692424
가야소아청소년과의원,서울특별시,서초구,"서울특별시 서초구 방배로 225, 2층 (방배동, 남전빌딩)",37.4931814,126.9898381
가야우리아동의원,부산광역시,부산진구,"부산광역시 부산진구 가야대로679번길 133, 1층~5층 (당감동)",35.1560213,129.0396314
가연관악산부인과의원,서울특별시,관악구,"서울특별시 관악구 남부순환로 1838, (봉천동)",37.4804895,126.9540373
가오아이소아청소년과의원,대전광역시,대전동구,"대전광역시 동구 은어송로 60, 3층 (가오동)",36.306192,127.4561197
가족건강의원,서울특별시,도봉구,"서울특별시 도봉구 해등로 218, (쌍문동)",37.6581696,127.0323113
가족건강의원,광주광역시,광주광산구,"광주광역시 광산구 첨단중앙로181번길 42-5, 상가동 1층 (월계동, 첨단 금호타운)",35.2207037,126.8351029
가족사랑의원,경상북도,구미시,"경상북도 구미시 도봉로5길 11, 가동 205호 (봉곡동, 주공그린빌상가)",36.14275050000001,128.3151004
가족사랑의원,경기도,광명시,"경기도 광명시 도덕로 52, 3층 (광명동, 청송빌딩)",37.4688784,126.8535294
가좌연세소아과의원,인천광역시,인천서구,"인천광역시 서구 원적로 100, (가좌동)",37.4950003,126.6828245
가톨릭소아청소년과의원,대구광역시,대구달성군,"대구광역시 달성군 화원읍 명곡로 14, 303호",35.7984535,128.4960572
갈매아이웰소아청소년과의원,경기도,구리시,"경기도 구리시 갈매순환로 194, 3층 302,303호 (갈매동, 신영프라자)",37.6365904,127.121738
감일키즈소아청소년과의원,경기도,하남시,"경기도 하남시 감일중앙로 60, 감일 벨솔레 파크 3층 310~312호 (감이동)",37.5055858,127.1499193
강경훈소아과의원,서울특별시,관악구,"서울특별시 관악구 신림로 141, (신림동)",37.4716183,126.9334078
강남드림의원,경상북도,영주시,"경상북도 영주시 대학로 226, (가흥동)",36.81567,128.6051951
강남소아청소년과의원,경기도,평택시,"경기도 평택시 안중읍 안현로서6길 68, 3층",36.984801,126.9215773
강남에프엠의원,서울특별시,강남구,"서울특별시 강남구 강남대로 376, 5층 (역삼동)",37.4965166,127.0287049
