,위도,경도,시간,거리
0,37.32083142,127.0885087,13 mins,0.6 km
1,37.29899353,127.072421,23 mins,4.8 km
2,37.32044362,127.0650423,30 mins,3.3 km
3,37.31003125,127.0733254,27 mins,2.1 km
4,37.30192517,127.0924337,38 mins,4.4 km
5,37.29949159,127.0709899,22 mins,4.7 km
6,37.32801071,127.1189891,35 mins,3.5 km
7,37.31528324,127.0968022,22 mins,1.7 km
8,37.33485587,127.0942612,20 mins,2.5 km
9,37.33412825,127.1290495,39 mins,5.0 km
10,37.30901803,127.0789331,27 mins,2.1 km
11,37.32477894,127.1225516,33 mins,4.6 km
12,37.3372256,127.0848659,34 mins,3.5 km
13,37.30579885,127.0817295,28 mins,2.4 km
14,37.33686539,127.0950036,22 mins,2.9 km
15,37.32336344,127.0611228,27 mins,4.2 km
16,37.30375053,127.0785606,28 mins,2.8 km
17,37.29911295,127.0743761,32 mins,3.1 km
18,37.3024074,127.0814728,29 mins,2.8 km
19,37.3018915,127.0805582,29 mins,2.9 km
20,37.33263026,127.1060548,33 mins,3.6 km
21,37.33017106,127.1160431,33 mins,3.3 km
22,37.33359249,127.106521,32 mins,3.5 km
23,37.32235846,127.0808227,13 mins,1.1 km
24,37.32221072,127.0823971,15 mins,1.1 km
25,37.33007411,127.0952528,21 mins,2.0 km
26,37.32110222,127.0764753,17 mins,1.3 km
27,37.33289857,127.0943635,14 mins,2.6 km
28,37.33374032,127.1103872,30 mins,3.4 km
29,37.32272577,127.0990637,16 mins,1.2 km
30,37.33236479,127.1075402,31 mins,3.5 km
31,37.32663648,127.0798022,19 mins,1.8 km
32,37.31807594,127.0878026,11 mins,0.4 km
33,37.32955546,127.1218001,35 mins,3.7 km
34,37.33131984,127.0922274,13 mins,2.4 km
35,37.33506501,127.0879351,28 mins,3.0 km
36,37.32522741,127.0915836,10 mins,1.4 km
37,37.35884705,127.066072,58 mins,9.4 km
38,37.31735232,127.0673443,26 mins,2.8 km
39,37.32880026,127.1313577,33 mins,7.4 km
40,37.33674758,127.1276076,40 mins,4.8 km
41,37.32881299,127.1247627,39 mins,4.2 km
42,37.32052608,127.0927176,6 mins,0.5 km
43,37.34461156,127.0933932,30 mins,4.4 km
44,37.3167412,127.085295,12 mins,0.6 km
45,37.31519522,127.0643278,31 mins,3.4 km
46,37.32765873,127.0643074,21 mins,3.0 km
47,37.32774897,127.0629561,23 mins,3.1 km
48,37.32928881,127.0776935,21 mins,2.2 km
49,37.33588361,127.1278322,38 mins,4.8 km
50,37.31974732,127.0764604,18 mins,1.3 km
51,37.31616174,127.0955107,20 mins,1.6 km
52,37.33105561,127.1163113,34 mins,3.4 km
53,37.31702384,127.0892193,13 mins,0.5 km
54,37.32314253,127.1136656,28 mins,2.9 km
55,37.32983426,127.068107,20 mins,2.6 km
56,37.31954194,127.0781599,16 mins,1.2 km
57,37.30902368,127.0898887,32 mins,3.2 km
58,37.3178168,127.068439,25 mins,2.6 km
59,37.3237539,127.0764567,15 mins,1.4 km
60,37.313249,127.0777291,20 mins,1.6 km
61,37.2982882,127.0690472,19 mins,4.6 km
62,37.3262667,127.0945467,18 mins,1.7 km
63,37.331955,127.1262802,38 mins,4.2 km
64,37.3065981,127.0854036,26 mins,2.3 km
65,37.3248201,127.0949483,18 mins,1.6 km
66,37.3316833,127.1105905,30 mins,3.1 km
67,37.3247839,127.0540839,30 mins,4.8 km
68,37.3088526,127.0852428,25 mins,1.9 km
69,37.3061694,127.0846902,26 mins,2.2 km
70,37.2976659,127.0697576,13 mins,3.7 km
71,37.3382141,127.1016827,20 mins,4.0 km
72,37.3073811,127.0854655,26 mins,2.2 km
73,37.3220401,127.0950052,12 mins,0.8 km
74,37.319967,127.0621928,28 mins,3.6 km
75,37.3357397,127.0933702,21 mins,2.7 km
76,37.3068137,127.0845283,25 mins,2.2 km
77,37.3280129,127.0683052,19 mins,2.7 km
78,37.3304131,127.1106044,29 mins,3.1 km
79,37.3273059,127.0914221,12 mins,2.1 km
80,37.32421679999999,127.0949078,15 mins,1.0 km
81,37.2981479,127.0705202,20 mins,4.6 km
82,37.323262,127.0779366,14 mins,1.3 km
83,37.3372428,127.0887296,28 mins,3.1 km
84,37.3081635,127.0848283,26 mins,2.2 km
85,37.3127782,127.0924621,19 mins,1.2 km
86,37.3332289,127.0911443,17 mins,2.8 km
87,37.29773429999999,127.0804077,36 mins,3.5 km
88,37.3318909,127.1275632,40 mins,5.2 km
89,37.3245324,127.0946874,15 mins,1.0 km
90,37.2980518,127.0689812,19 mins,4.5 km
91,37.3182966,127.0902798,13 mins,0.5 km
92,37.3240118,127.0964297,14 mins,1.1 km
93,37.3379116,127.0928611,24 mins,2.9 km
94,37.3182966,127.0902798,13 mins,0.5 km
95,37.3403458,127.0986349,20 mins,3.8 km
96,37.3333395,127.1115008,31 mins,3.5 km
97,37.3163486,127.0795459,21 mins,1.2 km
98,37.3319718,127.1250984,37 mins,4.1 km
99,37.3061694,127.0846902,26 mins,2.2 km
100,37.3210823,127.0949362,7 mins,0.8 km
101,37.331955,127.1262802,38 mins,4.2 km
102,37.3280129,127.0683052,19 mins,2.7 km
103,37.3284665,127.0677715,19 mins,2.7 km
104,37.3061694,127.0846902,26 mins,2.2 km
105,37.3211823,127.0951112,7 mins,0.8 km
106,37.3061694,127.0846902,26 mins,2.2 km
107,37.323262,127.0779366,14 mins,1.3 km
108,37.3096291,127.0825244,25 mins,1.7 km
109,37.3237539,127.0764567,15 mins,1.4 km
110,37.3237539,127.0764567,15 mins,1.4 km
111,37.3284228,127.0699161,19 mins,2.6 km
112,37.3319839,127.1228415,36 mins,4.1 km
113,37.3236594,127.0790598,15 mins,1.4 km
114,37.3319728,127.1204639,36 mins,3.8 km
115,37.3133076,127.0785921,20 mins,1.4 km
116,37.3216561,127.0953033,13 mins,0.8 km
117,37.3217256,127.0944532,13 mins,0.8 km
118,37.3144855,127.0842721,17 mins,0.8 km
119,37.3196861,127.0877731,11 mins,0.4 km
120,37.3379116,127.0928611,24 mins,2.9 km
121,37.3270348,127.0961375,17 mins,1.6 km
122,37.323262,127.0779366,14 mins,1.3 km
123,37.3325477,127.0930931,14 mins,2.6 km
124,37.3404432,127.0990102,20 mins,3.8 km
125,37.32818410000001,127.0748939,16 mins,2.0 km
126,37.30717569999999,127.0844144,24 mins,2.2 km
127,37.3319839,127.1228415,36 mins,4.1 km
128,37.30218929999999,127.07791,26 mins,2.9 km
129,37.323262,127.0779366,14 mins,1.3 km
130,37.3323071,127.1112792,32 mins,3.5 km
131,37.313328,127.0873894,28 mins,2.7 km
132,37.2981387,127.0698891,14 mins,3.8 km
133,37.3237539,127.0764567,15 mins,1.4 km
134,37.3208493,127.0785732,14 mins,1.1 km
135,37.3318909,127.1275632,40 mins,5.2 km
136,37.324475,127.0972122,13 mins,1.1 km
137,37.3226007,127.1175409,31 mins,4.2 km
138,37.2983694,127.069955,14 mins,3.8 km
139,37.2988414,127.0734689,32 mins,3.1 km
140,37.3297021,127.1143734,35 mins,3.4 km
141,37.332216,127.1273428,40 mins,5.3 km
142,37.3235943,127.1232376,32 mins,4.5 km
143,37.3123014,127.0910107,20 mins,1.3 km
144,37.3260122,127.1196898,37 mins,4.6 km
145,37.3407334,127.0989344,20 mins,3.9 km
146,37.3314524,127.1235174,34 mins,4.0 km
147,37.3061694,127.0846902,26 mins,2.2 km
148,37.3127782,127.0924621,19 mins,1.2 km
149,37.3245324,127.0946874,15 mins,1.0 km
150,37.3405726,127.0970761,21 mins,3.9 km
151,37.3202298,127.0683434,28 mins,2.9 km
152,37.3217256,127.0944532,13 mins,0.8 km
153,37.3221833,127.0952564,13 mins,0.8 km
154,37.2973309,127.0696643,13 mins,3.7 km
155,37.2982882,127.0690472,14 mins,3.8 km
156,37.2978464,127.0739181,19 mins,4.1 km
157,37.2982882,127.0690472,14 mins,3.8 km
158,37.3002422,127.0713378,30 mins,3.0 km
159,37.2965619,127.0694503,13 mins,3.7 km
160,37.2973309,127.0696643,13 mins,3.7 km
161,37.2977514,127.0746846,22 mins,4.4 km
162,37.2959887,127.0699743,14 mins,3.8 km
163,37.2976659,127.0697576,13 mins,3.7 km
164,37.2980518,127.0689812,14 mins,3.7 km
165,37.2976659,127.0697576,13 mins,3.7 km
166,37.3241089,127.0951034,15 mins,1.0 km
167,37.3245638,127.0964054,14 mins,1.2 km
168,37.3127281,127.0764062,22 mins,1.6 km
169,37.3147891,127.0804717,19 mins,1.1 km
170,37.3236049,127.0773679,14 mins,1.4 km
171,37.323262,127.0779366,14 mins,1.3 km
172,37.3153424,127.0830255,16 mins,0.8 km
173,37.3271782,127.1146271,30 mins,3.0 km
174,37.3069419,127.0782489,28 mins,2.2 km
175,37.341208,127.0971737,22 mins,3.9 km
176,37.3092311,127.0882413,30 mins,3.1 km
177,37.3085221,127.0849343,25 mins,2.0 km
178,37.3233659,127.0956846,14 mins,0.9 km
179,37.315997,127.0745594,24 mins,2.0 km
180,37.3318915,127.127228,40 mins,5.3 km
181,37.2978464,127.0739181,19 mins,4.1 km
182,37.3199959,127.0859538,13 mins,0.6 km
183,37.3154837,127.0849653,15 mins,0.7 km
184,37.3315052,127.1262754,38 mins,4.2 km
185,37.3209257,127.089953,6 mins,0.6 km
186,37.3262667,127.0945467,18 mins,1.7 km
187,37.3264779,127.0906002,10 mins,1.7 km
188,37.3153424,127.0830255,16 mins,0.8 km
189,37.3318909,127.1275632,40 mins,5.2 km
190,37.3319718,127.1250984,37 mins,4.1 km
191,37.33152949999999,127.1208724,35 mins,3.7 km
192,37.3210823,127.0949362,7 mins,0.8 km
193,37.3061694,127.0846902,26 mins,2.2 km
194,37.32248149999999,127.0909192,7 mins,0.6 km
195,37.3312407,127.1275598,39 mins,5.2 km
196,37.3167455,127.0682893,25 mins,2.6 km
197,37.3319718,127.1250984,37 mins,4.1 km
198,37.332216,127.1273428,40 mins,5.3 km
199,37.3221118,127.0946067,11 mins,0.7 km
200,37.3290118,127.1099012,28 mins,2.8 km
201,37.3242657,127.1250097,35 mins,4.7 km
202,37.3209879,127.0947596,6 mins,0.7 km
203,37.3315052,127.1262754,38 mins,4.2 km
204,37.331789,127.1193367,36 mins,3.7 km
205,37.3156306,127.0772713,22 mins,1.9 km
206,37.3212214,127.0945512,6 mins,0.7 km
207,37.308594,127.0869555,27 mins,2.1 km
208,37.3226007,127.1175409,31 mins,4.2 km
209,37.323925,127.1207038,33 mins,4.4 km
210,37.3085221,127.0849343,25 mins,2.0 km
211,37.323262,127.0779366,14 mins,1.3 km
212,37.313328,127.0873894,28 mins,2.7 km
213,37.3319839,127.1228415,36 mins,4.1 km
214,37.3073811,127.0854655,26 mins,2.2 km
215,37.3065981,127.0854036,26 mins,2.3 km
216,37.3216561,127.0953033,13 mins,0.8 km
217,37.3336253,127.1259979,39 mins,4.4 km
218,37.3245324,127.0946874,15 mins,1.0 km
219,37.33407930000001,127.1122139,33 mins,3.6 km
220,37.3156917,127.0712699,24 mins,2.3 km
221,37.3001009,127.0779266,31 mins,3.1 km
222,37.3209879,127.0947596,6 mins,0.7 km
223,37.3127782,127.0924621,19 mins,1.2 km
224,37.3370085,127.0937102,22 mins,2.8 km
225,37.3127782,127.0924621,19 mins,1.2 km
226,37.3372428,127.0887296,28 mins,3.1 km
227,37.3423985,127.1019549,17 mins,3.8 km
228,37.3065981,127.0854036,26 mins,2.3 km
229,37.3217256,127.0944532,13 mins,0.8 km
230,37.3403622,127.0961854,22 mins,3.9 km
231,37.3208493,127.0785732,14 mins,1.1 km
232,37.3061694,127.0846902,26 mins,2.2 km
233,37.3144855,127.0842721,17 mins,0.8 km
234,37.3240118,127.0964297,14 mins,1.1 km
235,37.3354496,127.0904868,25 mins,2.8 km
236,37.3220175,127.0944416,12 mins,0.8 km
237,37.2983694,127.069955,14 mins,3.8 km
238,37.3089793,127.076695,24 mins,1.9 km
239,37.3133076,127.0785921,20 mins,1.4 km
240,37.3065981,127.0854036,26 mins,2.3 km
241,37.3198314,127.0805719,13 mins,0.8 km
242,37.3245324,127.0946874,15 mins,1.0 km
243,37.3453637,127.0929579,32 mins,4.5 km
244,37.3097005,127.0793775,25 mins,1.7 km
245,37.3190671,127.0852286,11 mins,0.4 km
246,37.3209879,127.0947596,6 mins,0.7 km
247,37.2985196,127.06911,15 mins,3.8 km
248,37.335647,127.0904167,25 mins,2.8 km
249,37.3127782,127.0924621,19 mins,1.2 km
250,37.3214143,127.0955196,14 mins,0.9 km
251,37.3218674,127.0947009,12 mins,0.8 km
252,37.3216561,127.0953033,13 mins,0.8 km
253,37.3245324,127.0946874,15 mins,1.0 km
254,37.2965619,127.0694503,13 mins,3.7 km
255,37.3217256,127.0944532,13 mins,0.8 km
256,37.3065981,127.0854036,26 mins,2.3 km
257,37.3068137,127.0845283,25 mins,2.2 km
258,37.2985196,127.06911,15 mins,3.8 km
259,37.3322039,127.1101314,30 mins,3.4 km
260,37.3149633,127.0775528,23 mins,1.9 km
261,37.3319839,127.1228415,36 mins,4.1 km
262,37.3229064,127.092454,7 mins,0.8 km
263,37.3245324,127.0946874,15 mins,1.0 km
264,37.3328927,127.1109368,31 mins,3.4 km
