,위도,경도,시간,거리
0,35.1469695,128.5565283,16 mins,4.7 km
1,35.17757645,128.5652974,6 mins,0.7 km
2,35.08695811,128.5870692,59 mins,14.8 km
3,35.19167165,128.5628724,13 mins,2.6 km
4,35.11430894,128.4882202,43 mins,12.7 km
5,35.17620554,128.5578346,12 mins,1.1 km
6,35.19793722,128.5598321,25 mins,4.1 km
7,35.20055288,128.5616541,24 mins,4.4 km
8,35.21579113,128.5846544,32 mins,6.8 km
9,35.11862898,128.4887806,45 mins,12.4 km
10,35.19601945,128.5604733,21 mins,3.4 km
11,35.11618318,128.4697599,50 mins,14.7 km
12,35.21277759,128.5772354,26 mins,6.7 km
13,35.20360532,128.5675079,20 mins,4.1 km
14,35.14377035,128.5582419,17 mins,4.8 km
15,35.104284,128.4095521,1 hour 10 mins,23.2 km
16,35.18864312,128.5564144,19 mins,2.7 km
17,35.10498551,128.478791,53 mins,14.8 km
18,35.18865983,128.5564144,19 mins,2.7 km
19,35.17249126,128.5615213,8 mins,1.0 km
20,35.20319064,128.5620358,24 mins,4.4 km
21,35.21233241,128.5841074,26 mins,6.0 km
22,35.16749022,128.5711686,10 mins,1.4 km
23,35.19593834,128.5614097,20 mins,3.3 km
24,35.20941219,128.5643386,31 mins,8.2 km
25,35.12143941,128.538013,1 hour 6 mins,20.4 km
26,35.21228385,128.5821184,25 mins,6.3 km
27,35.11022237,128.4150907,1 hour 2 mins,21.3 km
28,35.19192849,128.5584266,19 mins,2.9 km
29,35.21578987,128.5853702,33 mins,6.8 km
30,35.2092723,128.5713543,28 mins,7.4 km
31,35.08771693,128.5843228,58 mins,14.7 km
32,35.21972208,128.5795948,47 mins,8.0 km
33,35.14779402,128.5098136,31 mins,8.5 km
34,35.21351763,128.5650545,32 mins,8.2 km
35,35.11862978,128.4900974,43 mins,12.6 km
36,35.19793925,128.5598321,25 mins,4.1 km
37,35.17099201,128.5565457,17 mins,1.2 km
38,35.15921481,128.5752292,15 mins,2.8 km
39,35.20036632,128.5631695,22 mins,4.2 km
40,35.211608,128.5660041,28 mins,7.6 km
41,35.18301572,128.5574966,11 mins,1.7 km
42,35.17852773,128.5573056,9 mins,1.3 km
43,35.12047404,128.5791559,24 mins,8.8 km
44,35.196274,128.5622871,20 mins,3.5 km
45,35.1947514,128.5684033,15 mins,3.2 km
46,35.194673,128.5642547,16 mins,3.0 km
47,35.19333719999999,128.5648178,13 mins,2.9 km
48,35.1800767,128.5574829,9 mins,1.3 km
49,35.1459033,128.555936,16 mins,4.7 km
50,35.2012946,128.5677541,15 mins,3.8 km
51,35.1466005,128.5557156,17 mins,4.7 km
52,35.1969446,128.5618737,21 mins,3.6 km
53,35.2004132,128.5676301,20 mins,4.1 km
54,35.1982955,128.5611561,23 mins,4.0 km
55,35.1947514,128.5684033,15 mins,3.2 km
56,35.1787141,128.5616358,8 mins,1.0 km
57,35.1973319,128.5579439,26 mins,3.6 km
58,35.1797521,128.562464,9 mins,0.9 km
59,35.1924065,128.5651539,13 mins,2.8 km
60,35.1785881,128.5581849,8 mins,1.2 km
61,35.1783932,128.5581934,8 mins,1.2 km
62,35.1977128,128.5620017,22 mins,3.9 km
63,35.1759583,128.5606906,11 mins,1.1 km
64,35.2208517,128.58638,32 mins,7.3 km
65,35.1759583,128.5606906,11 mins,1.1 km
66,35.1924065,128.5651539,13 mins,2.8 km
67,35.1468715,128.5581627,15 mins,4.6 km
68,35.1781333,128.5587968,9 mins,1.2 km
69,35.1794041,128.5581273,7 mins,1.1 km
70,35.1947295,128.5692343,17 mins,3.3 km
71,35.1797521,128.562464,9 mins,0.9 km
72,35.1199068,128.4875901,45 mins,12.8 km
73,35.1499601,128.5543919,15 mins,4.0 km
74,35.1499601,128.5543919,15 mins,4.0 km
75,35.1797521,128.562464,9 mins,0.9 km
76,35.206363,128.5736144,28 mins,5.5 km
77,35.2012884,128.5708344,19 mins,4.4 km
78,35.2014238,128.5717705,19 mins,4.4 km
79,35.1721692,128.559712,10 mins,1.1 km
80,35.1906093,128.5634451,12 mins,2.5 km
81,35.1184069,128.4866933,43 mins,12.7 km
82,35.181629,128.5590429,10 mins,1.6 km
83,35.1933785,128.5664424,14 mins,2.9 km
84,35.1992548,128.5729734,24 mins,4.6 km
85,35.1763235,128.5586567,11 mins,1.0 km
86,35.1806488,128.5602304,11 mins,1.4 km
87,35.21681239999999,128.5840877,34 mins,6.9 km
88,35.182736,128.5585848,9 mins,1.6 km
89,35.118214,128.4876416,42 mins,12.6 km
90,35.1840732,128.5617156,11 mins,1.9 km
91,35.1463261,128.5558666,16 mins,4.7 km
92,35.2105884,128.5812258,22 mins,6.2 km
93,35.1783158,128.5599072,8 mins,1.0 km
94,35.2029057,128.5640967,21 mins,4.2 km
95,35.2136901,128.5639077,31 mins,8.3 km
96,35.1459033,128.555936,16 mins,4.7 km
97,35.2155428,128.5696654,29 mins,6.9 km
98,35.1797521,128.562464,9 mins,0.9 km
99,35.1781333,128.5587968,9 mins,1.2 km
100,35.1796002,128.5592396,8 mins,1.2 km
101,35.211064,128.5755307,27 mins,6.1 km
102,35.182941,128.558704,9 mins,1.6 km
103,35.1488123,128.5601971,19 mins,4.9 km
104,35.2184652,128.5788697,46 mins,7.7 km
105,35.1783932,128.5581934,8 mins,1.2 km
106,35.2026441,128.5661864,19 mins,4.0 km
107,35.20003579999999,128.5675989,21 mins,4.1 km
108,35.1465421,128.5555399,17 mins,4.8 km
109,35.1912001,128.5631391,13 mins,2.6 km
110,35.1933785,128.5664424,14 mins,2.9 km
111,35.1710964,128.5584132,12 mins,1.2 km
112,35.1783158,128.5599072,8 mins,1.0 km
113,35.1187274,128.4878271,43 mins,12.6 km
114,35.1173895,128.4868266,42 mins,12.6 km
115,35.199447,128.5670608,16 mins,3.6 km
116,35.1992548,128.5729734,24 mins,4.6 km
117,35.1466724,128.5554756,17 mins,4.8 km
118,35.202826,128.5640315,21 mins,4.2 km
119,35.1781333,128.5587968,9 mins,1.2 km
120,35.1751176,128.5580684,12 mins,1.1 km
121,35.1459033,128.555936,16 mins,4.7 km
122,35.1459033,128.555936,16 mins,4.7 km
123,35.1192025,128.4878425,44 mins,12.7 km
124,35.1997141,128.5638651,20 mins,3.8 km
125,35.1828536,128.5589946,9 mins,1.6 km
126,35.1931782,128.5651962,13 mins,2.9 km
127,35.1723668,128.5577777,14 mins,1.0 km
128,35.1783932,128.5581934,8 mins,1.2 km
129,35.1461987,128.5554026,17 mins,4.8 km
130,35.1723668,128.5577777,14 mins,1.0 km
131,35.1458037,128.555536,17 mins,4.8 km
132,35.1172425,128.4920339,42 mins,12.1 km
133,35.1923596,128.5662995,14 mins,2.9 km
134,35.1968313,128.5613422,22 mins,3.6 km
135,35.1781333,128.5587968,9 mins,1.2 km
136,35.1309725,128.3759618,1 hour 19 mins,26.4 km
137,35.1469515,128.5554937,17 mins,4.8 km
138,35.1819434,128.559195,9 mins,1.6 km
139,35.1920541,128.5648382,13 mins,2.9 km
140,35.2192394,128.5784406,40 mins,7.9 km
141,35.1759583,128.5606906,13 mins,1.1 km
142,35.2135819,128.5668952,31 mins,7.8 km
143,35.2106853,128.5837773,23 mins,5.8 km
144,35.2038105,128.5670852,20 mins,4.1 km
145,35.2179132,128.5865187,32 mins,7.3 km
146,35.1936155,128.56607,14 mins,2.9 km
147,35.201216,128.5664713,17 mins,3.9 km
148,35.2095831,128.5846627,23 mins,5.8 km
149,35.21681239999999,128.5840877,34 mins,6.9 km
150,35.2002752,128.5675483,21 mins,4.1 km
151,35.1800629,128.5580803,9 mins,1.2 km
152,35.1141756,128.4875348,44 mins,12.7 km
153,35.1993652,128.5741953,25 mins,4.7 km
154,35.196617,128.5610748,21 mins,3.4 km
155,35.1797521,128.562464,9 mins,0.9 km
156,35.2061358,128.5653439,25 mins,4.4 km
157,35.2061358,128.5653439,25 mins,4.4 km
