,위도,경도,시간,거리
0,35.10145141,128.8190397,57 mins,20.5 km
1,35.15954661,128.6644414,42 mins,5.8 km
2,35.16141045,128.6942172,30 mins,3.2 km
3,35.1564539,128.7183283,34 mins,3.8 km
4,35.15781268,128.7068682,30 mins,2.3 km
5,35.14871995,128.6693135,25 mins,4.8 km
6,35.12623873,128.7071896,19 mins,2.5 km
7,35.11051483,128.7542598,30 mins,7.7 km
8,35.14965907,128.7120764,30 mins,2.0 km
9,35.14784036,128.6633177,28 mins,6.7 km
10,35.10398498,128.8062297,48 mins,18.8 km
11,35.16037923,128.6652038,44 mins,5.9 km
12,35.15614925,128.7197791,33 mins,3.8 km
13,35.08819661,128.810678,59 mins,22.3 km
14,35.10396535,128.7557112,28 mins,8.9 km
15,35.09744075,128.8182285,55 mins,20.9 km
16,35.15667015,128.6588444,47 mins,7.2 km
17,35.11282287,128.7962528,49 mins,16.9 km
18,35.09965504,128.8179932,54 mins,20.3 km
19,35.15742814,128.6875009,33 mins,3.9 km
20,35.1563023,128.6575727,46 mins,7.1 km
21,35.14587867,128.7052484,26 mins,0.7 km
22,35.14416613,128.7051285,25 mins,0.5 km
23,35.14258248,128.7039422,27 mins,0.5 km
24,35.09984346,128.8065674,51 mins,19.2 km
25,35.12709443,128.7838078,44 mins,14.9 km
26,35.13943503,128.710545,25 mins,0.7 km
27,35.08961489,128.8107118,59 mins,22.3 km
28,35.15542082,128.6754726,36 mins,4.9 km
29,35.15274364,128.653898,45 mins,7.3 km
30,35.16161832,128.6893971,33 mins,3.6 km
31,35.10252543,128.8051432,50 mins,19.2 km
32,35.15786437,128.6951594,31 mins,3.2 km
33,35.15575164,128.7023746,27 mins,2.1 km
34,35.16163171,128.6893971,33 mins,3.6 km
35,35.15430996,128.7039826,25 mins,1.8 km
36,35.1124855,128.7497026,24 mins,7.3 km
37,35.16081162,128.6651789,44 mins,6.1 km
38,35.0869218,128.811548,59 mins,22.3 km
39,35.1564105,128.6985621,30 mins,2.6 km
40,35.1284577,128.7398399,53 mins,9.1 km
41,35.1547796,128.7002725,30 mins,2.3 km
42,35.1479208,128.6589676,23 mins,5.8 km
43,35.1532329,128.6571278,40 mins,6.7 km
44,35.15151120000001,128.6567504,43 mins,7.2 km
45,35.15844,128.6945287,30 mins,3.1 km
46,35.1142898,128.7962973,46 mins,16.7 km
47,35.1559563,128.7055676,26 mins,2.0 km
48,35.1552661,128.7051652,25 mins,2.0 km
49,35.1538708,128.7081433,29 mins,2.1 km
50,35.1284577,128.7398399,53 mins,9.1 km
51,35.1554816,128.7044503,24 mins,1.9 km
52,35.1606742,128.6884485,32 mins,3.6 km
53,35.1527542,128.7130334,29 mins,2.6 km
54,35.1409236,128.705354,24 mins,0.6 km
55,35.1305351,128.7065666,14 mins,2.2 km
56,35.1589617,128.6623642,41 mins,5.7 km
57,35.1552661,128.7051652,25 mins,2.0 km
58,35.1460006,128.6636894,24 mins,6.4 km
59,35.1245471,128.7841505,40 mins,14.7 km
60,35.15664590000001,128.6863537,34 mins,4.0 km
61,35.1016481,128.8101827,51 mins,19.7 km
62,35.1384723,128.7033127,12 mins,0.9 km
63,35.14707130000001,128.7043225,28 mins,0.8 km
64,35.1016481,128.8101827,51 mins,19.7 km
65,35.1305351,128.7065666,14 mins,2.2 km
66,35.1306508,128.7057375,26 mins,1.6 km
67,35.1481699,128.7093581,24 mins,1.2 km
68,35.1515397,128.6562854,42 mins,7.2 km
70,35.1527542,128.7130334,29 mins,2.6 km
71,35.1517348,128.6575924,43 mins,6.9 km
72,35.1494652,128.6978333,11 mins,1.7 km
73,35.152497,128.6563476,42 mins,6.8 km
74,35.1558303,128.7053237,26 mins,2.0 km
75,35.1252899,128.7839489,41 mins,14.7 km
76,35.1465008,128.7087376,23 mins,0.9 km
77,35.1306508,128.7057375,26 mins,1.6 km
78,35.1356697,128.7059103,11 mins,1.5 km
79,35.1559563,128.7055676,26 mins,2.0 km
80,35.1060899,128.7535808,27 mins,8.4 km
81,35.1258884,128.7829867,42 mins,14.8 km
82,35.0988402,128.8168714,52 mins,20.2 km
83,35.1400845,128.7065456,22 mins,0.5 km
84,35.1445886,128.7030564,11 mins,1.1 km
85,35.1425053,128.7066799,20 mins,0.5 km
86,35.1564188,128.696061,18 mins,2.5 km
87,35.1402946,128.702042,25 mins,0.4 km
88,35.1554816,128.7044503,24 mins,1.9 km
89,35.1003838,128.8220863,1 hour 0 mins,21.2 km
90,35.1384723,128.7033127,12 mins,0.9 km
91,35.1016481,128.8101827,51 mins,19.7 km
92,35.1414472,128.7037286,28 mins,0.6 km
93,35.1566311,128.6860458,34 mins,4.0 km
94,35.1542749,128.7027054,27 mins,2.1 km
95,35.1011201,128.8080173,51 mins,19.2 km
96,35.1535609,128.6746409,19 mins,4.1 km
97,35.1495906,128.6617116,23 mins,5.5 km
98,35.1562513,128.7058717,27 mins,2.1 km
99,35.1543305,128.6562071,42 mins,6.9 km
100,35.1284577,128.7398399,53 mins,9.1 km
101,35.1522511,128.6677186,20 mins,4.7 km
102,35.1501389,128.6592454,23 mins,5.5 km
103,35.1053094,128.8069778,50 mins,19.0 km
104,35.1016481,128.8101827,51 mins,19.7 km
105,35.1010168,128.8057165,49 mins,19.1 km
106,35.1306508,128.7057375,26 mins,1.6 km
107,35.1520714,128.6639745,22 mins,5.2 km
108,35.1458711,128.6570837,27 mins,6.0 km
109,35.1010117,128.8058691,49 mins,19.1 km
110,35.1564014,128.7060143,27 mins,2.1 km
111,35.1577737,128.694302,31 mins,3.2 km
112,35.1564188,128.696061,18 mins,2.5 km
113,35.1517674,128.6564943,42 mins,7.2 km
114,35.1446792,128.7041568,26 mins,0.6 km
115,35.1473994,128.7064151,22 mins,1.1 km
116,35.1463092,128.6628562,26 mins,6.5 km
117,35.1569673,128.685584,34 mins,3.9 km
118,35.1494125,128.7101165,28 mins,1.8 km
119,35.1481441,128.7085852,23 mins,1.1 km
120,35.1306508,128.7057375,26 mins,1.6 km
121,35.1549043,128.6562069,43 mins,6.9 km
122,35.1538996,128.6997041,18 mins,2.5 km
123,35.1611181,128.6828321,36 mins,4.3 km
124,35.1553538,128.722406,35 mins,3.6 km
125,35.1006629,128.8105381,50 mins,19.6 km
126,35.10610760000001,128.7518468,25 mins,8.3 km
127,35.1060899,128.7535808,27 mins,8.4 km
128,35.1049617,128.7528678,27 mins,8.4 km
129,35.1589211,128.7017623,27 mins,2.4 km
130,35.1508441,128.6578802,25 mins,5.6 km
131,35.1305351,128.7065666,14 mins,2.2 km
132,35.1016481,128.8101827,51 mins,19.7 km
134,35.1539593,128.70836,29 mins,2.1 km
135,35.1477346,128.7096976,24 mins,1.2 km
136,35.1525613,128.7083829,27 mins,1.8 km
137,35.1552661,128.7051652,25 mins,2.0 km
138,35.1284339,128.7063776,16 mins,2.3 km
139,35.155392,128.71344,30 mins,2.4 km
140,35.1539593,128.70836,29 mins,2.1 km
141,35.0990117,128.807385,53 mins,19.3 km
142,35.0990117,128.807385,53 mins,19.3 km
143,35.1305506,128.7054117,27 mins,1.6 km
144,35.1534036,128.6553872,43 mins,6.9 km
145,35.1351735,128.706915,10 mins,1.4 km
146,35.1351735,128.706915,10 mins,1.4 km
147,35.1575507,128.7158847,36 mins,4.3 km
148,35.1603332,128.6791276,37 mins,4.6 km
149,35.1306508,128.7057375,15 mins,2.3 km
150,35.1284577,128.7398399,53 mins,9.1 km
151,35.1541926,128.7022295,28 mins,2.1 km
152,35.1541773,128.7013847,29 mins,2.2 km
153,35.1414529,128.7050683,24 mins,0.6 km
154,35.1049617,128.7528678,27 mins,8.4 km
155,35.1534429,128.7070833,26 mins,1.8 km
156,35.1474743,128.66183,26 mins,6.0 km
157,35.1585915,128.6630232,41 mins,5.8 km
158,35.1004794,128.8056486,50 mins,19.2 km
159,35.1049617,128.7528678,27 mins,8.4 km
160,35.1012886,128.8099351,51 mins,19.7 km
161,35.1537799,128.7079196,27 mins,1.9 km
162,35.1552661,128.7051652,25 mins,2.0 km
163,35.1056014,128.7514487,24 mins,8.3 km
164,35.1527542,128.7130334,29 mins,2.6 km
