,위도,경도,시간,거리
0,35.16857266,126.9001046,35 mins,4.0 km
1,35.18729246,126.9251428,44 mins,3.2 km
2,35.15234606,126.9070477,39 mins,6.8 km
3,35.18471442,126.873828,35 mins,4.0 km
4,35.1672729,126.9276115,37 mins,5.0 km
5,35.1759524,126.920379,29 mins,3.8 km
6,35.23136996,126.8856716,55 mins,9.1 km
7,35.16943786,126.9223461,29 mins,4.8 km
8,35.1861228,126.9164071,33 mins,3.3 km
9,35.16943786,126.9223461,29 mins,4.8 km
10,35.21068262,126.8658333,58 mins,8.0 km
11,35.24649373,126.9140707,1 hour 14 mins,10.9 km
12,35.1785969,126.8855126,36 mins,2.8 km
13,35.18390762,126.8753149,36 mins,3.8 km
14,35.19426025,126.8942973,18 mins,0.9 km
15,35.16613628,126.9360878,50 mins,6.0 km
16,35.19641806,126.8750071,44 mins,4.7 km
17,35.17651077,126.8922634,34 mins,2.5 km
18,35.18152772,126.8989699,26 mins,1.4 km
19,35.18250305,126.8794162,29 mins,2.3 km
20,35.18919758,126.9194511,47 mins,3.3 km
21,35.16906085,126.911855,29 mins,3.6 km
22,35.18744989,126.8676187,35 mins,4.4 km
23,35.20969424,126.8984011,27 mins,3.2 km
24,35.20064274,126.900249,23 mins,1.9 km
25,35.18937805,126.9238035,45 mins,3.4 km
26,35.15968492,126.9032356,37 mins,6.1 km
27,35.20274166,126.8947545,29 mins,2.6 km
28,35.18114937,127.0021113,1 hour 24 mins,18.9 km
29,35.15618871,126.9066548,36 mins,6.6 km
30,35.2123806,126.8989514,28 mins,3.2 km
31,35.16947738,126.9341202,41 mins,4.9 km
32,35.21063123,126.8572493,1 hour 2 mins,7.5 km
33,35.18106097,126.9143537,23 mins,2.7 km
34,35.21688754,126.8920601,32 mins,4.6 km
35,35.21781348,126.8969064,33 mins,4.7 km
36,35.16620771,126.9351485,48 mins,5.5 km
37,35.189162,126.9043599,20 mins,1.4 km
38,35.20734077,126.8983974,31 mins,3.1 km
39,35.19616978,126.8736986,45 mins,4.7 km
40,35.18340794,126.9211632,31 mins,3.4 km
41,35.18590225,126.9119857,27 mins,2.5 km
42,35.21577101,126.8752461,52 mins,6.4 km
43,35.17391595,126.8732683,39 mins,3.6 km
44,35.17473839,126.8926244,33 mins,2.4 km
45,35.20718682,126.8714608,47 mins,5.7 km
46,35.21071222,126.862344,59 mins,8.0 km
47,35.1785969,126.8855126,36 mins,2.8 km
48,35.18649082,126.8885166,26 mins,1.0 km
49,35.18047858,126.8709882,35 mins,3.8 km
50,35.18655598,126.888059,26 mins,1.3 km
51,35.22815205,126.8478336,1 hour 6 mins,11.2 km
52,35.20578715,126.9511089,56 mins,10.1 km
53,35.21688754,126.8920601,32 mins,4.6 km
54,35.16188253,126.8995866,52 mins,8.1 km
55,35.18944153,126.9215793,46 mins,3.2 km
56,35.185571,126.9112307,26 mins,2.4 km
57,35.21112602,126.8951264,29 mins,3.3 km
58,35.1729465,126.9011018,34 mins,3.3 km
59,35.2107845,126.8609609,1 hour 0 mins,8.1 km
60,35.17953334,126.9321202,35 mins,4.6 km
61,35.17846694,126.9239162,25 mins,3.5 km
62,35.1785969,126.8855126,36 mins,2.8 km
63,35.189132,126.8951358,18 mins,1.6 km
64,35.17879259,126.9227691,26 mins,3.6 km
65,35.19084274,126.9154959,35 mins,2.5 km
66,35.1729465,126.9011018,34 mins,3.3 km
67,35.18608494,126.9179996,33 mins,3.3 km
68,35.20842044,126.8812042,49 mins,6.0 km
69,35.18860042,126.8889108,21 mins,1.0 km
70,35.18250305,126.8794162,29 mins,2.3 km
71,35.21523512,126.881492,49 mins,7.2 km
72,35.19911446,126.8956123,25 mins,1.4 km
73,35.17473839,126.8926244,33 mins,2.4 km
74,35.18242651,126.9357419,40 mins,6.3 km
75,35.21704677,126.8814576,48 mins,7.1 km
76,35.20604838,126.8933313,36 mins,3.4 km
77,35.21152511,126.8936913,31 mins,3.4 km
78,35.16085475,126.9135445,43 mins,5.3 km
79,35.18962767,126.9123959,30 mins,2.2 km
80,35.17621187,126.8664252,45 mins,4.4 km
81,35.18149377,126.9379697,49 mins,6.0 km
82,35.17669545,126.8871706,40 mins,1.7 km
83,35.21495758,126.8706473,53 mins,7.2 km
84,35.17493679,126.8841211,48 mins,3.3 km
85,35.21781348,126.8969064,33 mins,4.7 km
86,35.19253901,126.8982854,22 mins,1.0 km
87,35.16471468,126.9256972,39 mins,5.8 km
88,35.17517965,126.8680368,44 mins,3.9 km
89,35.19253901,126.8982854,22 mins,1.0 km
90,35.18573678,126.8992800126,19 mins,1.0 km
91,35.16943786,126.9223461,29 mins,4.8 km
92,35.19911446,126.8956123,25 mins,1.4 km
93,35.17517965,126.8680368,44 mins,3.9 km
94,35.16943786,126.9223461,29 mins,4.8 km
95,35.17341728,126.9313378,33 mins,4.4 km
96,35.2120623,126.879957,47 mins,6.7 km
97,35.2038508,126.8986666,23 mins,2.2 km
98,35.2155007,126.88293,50 mins,7.3 km
99,35.1551368,126.9074582,34 mins,6.5 km
100,35.1749537,126.9135691,26 mins,3.0 km
101,35.1889341,126.9223503,45 mins,3.1 km
102,35.1787537,126.891141,37 mins,2.4 km
103,35.1802021,126.889208,33 mins,2.5 km
104,35.1883469,126.8659927,36 mins,4.7 km
105,35.1973966,126.8721849,46 mins,4.7 km
106,35.2089224,126.8815539,49 mins,6.4 km
107,35.1850336,126.9220917,35 mins,3.6 km
108,35.2107772,126.879908,45 mins,6.3 km
109,35.2055568,126.8986615,26 mins,2.4 km
110,35.1882135,126.8985604,18 mins,0.7 km
111,35.180487,126.873801,34 mins,3.8 km
112,35.172771,126.9355495,39 mins,4.8 km
113,35.2069616,126.8597807,1 hour 3 mins,7.8 km
114,35.2032153,126.8973522,25 mins,2.3 km
115,35.161963,126.9049763,37 mins,6.1 km
116,35.1642654,126.9310982,45 mins,5.6 km
