,위도,경도,시간,거리
0,35.52521961,129.4216686,51 mins,4.5 km
1,35.50469476,129.4180856,34 mins,2.0 km
2,35.53866837,129.4308887,45 mins,5.9 km
3,35.48414502,129.415596,9 mins,1.8 km
4,35.48672963,129.4243191,7 mins,1.0 km
5,35.53655854,129.4280974,43 mins,5.8 km
6,35.51544857,129.4277996,38 mins,3.2 km
7,35.50566855,129.4190091,35 mins,2.0 km
8,35.5017302,129.4203999645,32 mins,1.6 km
9,35.52408034,129.423179,50 mins,4.4 km
10,35.48083486,129.4139603,11 mins,2.3 km
11,35.54490419,129.4272227,52 mins,6.8 km
12,35.5259167,129.422805,50 mins,4.4 km
13,35.476981,129.409585,11 mins,2.6 km
14,35.50456253,129.4229041,33 mins,1.4 km
15,35.50423681,129.4210107,33 mins,1.9 km
16,35.49154319,129.4187592,6 mins,0.6 km
17,35.50452893,129.4196102,33 mins,1.8 km
18,35.54248574,129.4247502,48 mins,6.5 km
19,35.53801042,129.4187517,45 mins,7.0 km
20,35.48239565,129.4091804,11 mins,2.3 km
21,35.50582768,129.4227382,34 mins,1.9 km
22,35.50495501,129.4253291,33 mins,1.4 km
23,35.49144778,129.4254884,8 mins,0.7 km
24,35.53528728,129.4275196,44 mins,5.8 km
25,35.4880068,129.4118422,10 mins,1.8 km
26,35.50434136,129.4242201,31 mins,1.4 km
27,35.49681312,129.4220643,13 mins,1.0 km
28,35.50594478,129.4245916,32 mins,1.9 km
29,35.55800571,129.4568655,1 hour 26 mins,10.8 km
30,35.53085123,129.4286585,46 mins,5.6 km
31,35.49730567,129.4212233,29 mins,0.6 km
32,35.53883553,129.4232406,46 mins,6.4 km
33,35.50637511,129.421839,34 mins,2.0 km
34,35.5169781,129.427495,36 mins,3.1 km
35,35.5010337,129.4184655,30 mins,1.5 km
36,35.4836293,129.4147943,10 mins,1.8 km
37,35.4829023,129.4145528,11 mins,1.9 km
38,35.5429308,129.4260644,49 mins,6.5 km
39,35.5033758,129.4221264,32 mins,1.9 km
40,35.5007759,129.4186541,30 mins,1.4 km
41,35.5148403,129.4239506,36 mins,2.9 km
42,35.4957531,129.4203172,11 mins,0.9 km
43,35.5088411,129.425421,32 mins,2.0 km
44,35.4951129,129.4208894,10 mins,0.8 km
45,35.4840298,129.4147206,9 mins,1.7 km
46,35.52395509999999,129.4307093,42 mins,4.3 km
47,35.4827845,129.4138904,11 mins,2.3 km
48,35.4822092,129.4114555,8 mins,2.1 km
49,35.5109068,129.426251,35 mins,2.5 km
50,35.5241441,129.4310011,42 mins,4.3 km
51,35.4818927,129.4128343,9 mins,2.2 km
52,35.4824308,129.4120668,9 mins,2.2 km
53,35.5015466,129.4242855,31 mins,1.3 km
54,35.4985777,129.4210674,30 mins,1.2 km
55,35.5033906,129.4220137,32 mins,1.9 km
56,35.4924959,129.4258339,9 mins,0.8 km
57,35.5035547,129.4205482,32 mins,1.8 km
58,35.5106791,129.4302184,33 mins,2.8 km
59,35.4919048,129.4252516,8 mins,0.7 km
60,35.4823398,129.4142658,12 mins,2.4 km
61,35.513782,129.4275478,37 mins,2.8 km
62,35.5080416,129.4228548,33 mins,1.9 km
63,35.51746139999999,129.4259179,37 mins,3.1 km
64,35.5029346,129.4231973,31 mins,1.3 km
65,35.5166014,129.4264798,35 mins,3.0 km
66,35.4835203,129.4146655,10 mins,1.8 km
67,35.5036814,129.4197211,32 mins,1.8 km
68,35.5032743,129.4229323,31 mins,1.4 km
69,35.5037495,129.4190721,32 mins,1.7 km
70,35.4835307,129.414971,10 mins,1.8 km
71,35.4830194,129.4147844,11 mins,1.9 km
72,35.4833284,129.4145622,10 mins,1.8 km
73,35.5288532,129.4311283,41 mins,4.8 km
74,35.4950053,129.4211629,10 mins,0.8 km
75,35.5071484,129.4230962,32 mins,1.9 km
76,35.544209,129.4263519,51 mins,6.7 km
77,35.5425997,129.4267823,48 mins,6.5 km
78,35.5443211,129.4305482,54 mins,6.8 km
79,35.54407380000001,129.4264028,51 mins,6.7 km
80,35.5443295,129.4285858,52 mins,6.8 km
81,35.5456643,129.425969,54 mins,6.8 km
82,35.5439393,129.4265287,51 mins,6.7 km
83,35.5438523,129.4245608,50 mins,6.6 km
84,35.5448557,129.4259935,52 mins,6.8 km
85,35.4842631,129.419859,10 mins,1.3 km
86,35.54438409999999,129.4255994,51 mins,6.7 km
87,35.5087812,129.422977,34 mins,2.0 km
88,35.4897225,129.4288859,13 mins,1.0 km
89,35.4938548,129.4238534,9 mins,0.7 km
90,35.5434049,129.4305088,52 mins,6.8 km
91,35.4935915,129.4221726,7 mins,0.7 km
92,35.5088411,129.425421,32 mins,2.0 km
93,35.4848909,129.4139452,7 mins,1.6 km
94,35.5021702,129.4243612,30 mins,1.3 km
95,35.5245375,129.4257048,47 mins,4.2 km
96,35.4837753,129.4145028,10 mins,1.8 km
97,35.4917716,129.4191056,6 mins,0.6 km
98,35.5080338,129.4225874,34 mins,1.9 km
99,35.5138617,129.4202853,41 mins,3.0 km
100,35.51489979999999,129.4262581,35 mins,2.8 km
101,35.5029703,129.4246648,29 mins,1.2 km
102,35.4838937,129.414247,9 mins,1.8 km
103,35.5087812,129.422977,34 mins,2.0 km
104,35.5435338,129.4282531,51 mins,6.7 km
105,35.5422921,129.4264694,47 mins,6.5 km
106,35.5014503,129.4186604,30 mins,1.4 km
107,35.5018343,129.4201529,32 mins,1.5 km
108,35.5394892,129.4267678,44 mins,6.3 km
109,35.5423142,129.4257932,47 mins,6.5 km
110,35.499197,129.4196045,29 mins,1.2 km
111,35.4842796,129.4168927,10 mins,1.3 km
112,35.5087812,129.422977,34 mins,2.0 km
113,35.5031204,129.4238845,30 mins,1.3 km
114,35.4833346,129.4161315,11 mins,1.9 km
115,35.5138617,129.4202853,41 mins,3.0 km
116,35.5161676,129.4268697,36 mins,3.1 km
117,35.5034058,129.4213966,33 mins,2.0 km
118,35.512888,129.4254736,35 mins,2.7 km
119,35.4875642,129.421936,3 mins,0.7 km
120,35.5413898,129.4254305,46 mins,6.4 km
121,35.5071713,129.4243552,30 mins,1.7 km
122,35.51489979999999,129.4262581,35 mins,2.8 km
123,35.4986948,129.4193385,29 mins,1.1 km
124,35.5017074,129.4182573,31 mins,1.5 km
125,35.506856,129.4260098,33 mins,1.9 km
126,35.5179399,129.425833,37 mins,3.3 km
127,35.5087812,129.422977,34 mins,2.0 km
128,35.5139527,129.4249353,34 mins,2.6 km
129,35.5129153,129.4252418,35 mins,2.7 km
130,35.4842655,129.4141989,9 mins,1.7 km
131,35.4922716,129.4236835,6 mins,0.6 km
132,35.5026603,129.4206332,33 mins,1.7 km
133,35.5238398,129.425906,45 mins,4.2 km
134,35.5031978,129.4236339,30 mins,1.3 km
135,35.5087812,129.422977,34 mins,2.0 km
136,35.5123435,129.4268322,36 mins,2.6 km
137,35.5459326,129.4291654,55 mins,6.9 km
138,35.4922716,129.4236835,6 mins,0.6 km
139,35.5124824,129.4248523,34 mins,2.5 km
140,35.4844519,129.4175499,9 mins,1.3 km
141,35.5071484,129.4230962,32 mins,1.9 km
142,35.4922716,129.4236835,6 mins,0.6 km
143,35.4831341,129.414124,11 mins,1.8 km
144,35.5067068,129.4236589,32 mins,1.8 km
145,35.4889598,129.425927,9 mins,0.8 km
146,35.5426683,129.4316306,53 mins,6.8 km
147,35.52395509999999,129.4307093,42 mins,4.3 km
148,35.5066102,129.4229969,32 mins,1.9 km
149,35.5080034,129.4233138,33 mins,1.9 km
150,35.5154832,129.4241374,36 mins,2.9 km
151,35.5460371,129.4303238,56 mins,7.0 km
152,35.5238398,129.425906,45 mins,4.2 km
153,35.4812995,129.4134718,10 mins,2.3 km
154,35.4844519,129.4175499,9 mins,1.3 km
155,35.4828354,129.4148295,11 mins,1.9 km
156,35.5451014,129.4297644,54 mins,6.9 km
157,35.487417,129.4257049,9 mins,1.1 km
158,35.5032707,129.4232517,31 mins,1.3 km
159,35.4920406,129.4218552,4 mins,0.5 km
160,35.5165131,129.4271916,36 mins,3.1 km
161,35.5425997,129.4267823,48 mins,6.5 km
162,35.4930449,129.4212939,6 mins,0.6 km
163,35.5245375,129.4257048,47 mins,4.2 km
164,35.5465698,129.4260991,55 mins,6.9 km
165,35.5245375,129.4257048,47 mins,4.2 km
166,35.5423991,129.4279889,49 mins,6.5 km
167,35.5245375,129.4257048,47 mins,4.2 km
168,35.5288532,129.4311283,41 mins,4.8 km
169,35.5245375,129.4257048,47 mins,4.2 km
170,35.54438409999999,129.4255994,51 mins,6.7 km
171,35.487417,129.4257049,9 mins,1.1 km
172,35.50634489999999,129.4270861,35 mins,2.0 km
173,35.5077442,129.427465,35 mins,2.3 km
174,35.4809323,129.4148819,12 mins,2.4 km
175,35.5075806,129.4254211,32 mins,1.9 km
176,35.5033171,129.422668,33 mins,2.0 km
177,35.5118235,129.4268604,36 mins,2.5 km
178,35.5245375,129.4257048,47 mins,4.2 km
179,35.4962835,129.4204654,12 mins,1.0 km
180,35.5399658,129.4248884,43 mins,6.2 km
181,35.5423792,129.4293133,50 mins,6.6 km
182,35.505273,129.4275995,36 mins,2.8 km
183,35.4824267,129.4114124,8 mins,2.2 km
184,35.4835307,129.414971,10 mins,1.8 km
185,35.4846546,129.4167989,9 mins,1.3 km
186,35.5079748,129.4235841,32 mins,1.9 km
187,35.4834866,129.4194962,11 mins,1.4 km
188,35.5088411,129.425421,32 mins,2.0 km
189,35.4869323,129.4184529,4 mins,1.0 km
190,35.4830305,129.4160635,12 mins,1.9 km
191,35.544209,129.4263519,51 mins,6.7 km
192,35.5087812,129.422977,34 mins,2.0 km
193,35.4914308,129.418997,6 mins,0.6 km
194,35.5240945,129.4302633,43 mins,4.3 km
195,35.5037495,129.4190721,32 mins,1.7 km
196,35.5392783,129.4242253,44 mins,6.3 km
197,35.5071713,129.4243552,30 mins,1.7 km
198,35.5463142,129.424729,55 mins,6.9 km
199,35.5033312,129.4225038,33 mins,2.0 km
200,35.4853084,129.4119347,9 mins,1.7 km
201,35.4841408,129.4185427,9 mins,1.3 km
202,35.5245375,129.4257048,47 mins,4.2 km
203,35.491127,129.418684,6 mins,0.6 km
204,35.5116731,129.4238655,34 mins,2.5 km
205,35.5128645,129.4257034,35 mins,2.7 km
206,35.481162,129.4144176,12 mins,2.4 km
207,35.5033312,129.4225038,33 mins,2.0 km
208,35.4994351,129.4214621,31 mins,0.9 km
209,35.5031204,129.4238845,30 mins,1.3 km
210,35.5426683,129.4316306,53 mins,6.8 km
211,35.5398159,129.4238566,45 mins,6.3 km
212,35.4827688,129.4144327,12 mins,2.4 km
213,35.5080122,129.4232057,33 mins,1.9 km
214,35.5007448,129.4192726,29 mins,1.3 km
215,35.5007448,129.4192726,29 mins,1.3 km
216,35.54438409999999,129.4255994,51 mins,6.7 km
217,35.4815865,129.412843,9 mins,2.2 km
218,35.5425997,129.4267823,48 mins,6.5 km
219,35.4799024,129.4135516,12 mins,2.3 km
220,35.51489979999999,129.4262581,35 mins,2.8 km
221,35.5124824,129.4248523,34 mins,2.5 km
222,35.4973838,129.4205059,30 mins,1.2 km
223,35.51489979999999,129.4262581,35 mins,2.8 km
224,35.485494,129.4157093,8 mins,1.7 km
225,35.503276,129.4254804,30 mins,1.3 km
226,35.4952324,129.419925,11 mins,0.9 km
227,35.5162144,129.4266624,36 mins,3.1 km
228,35.5074952,129.4256867,33 mins,1.9 km
229,35.5035732,129.4200131,31 mins,1.7 km
230,35.51489979999999,129.4262581,35 mins,2.8 km
231,35.4942333,129.4233998,9 mins,0.8 km
232,35.4922716,129.4236835,6 mins,0.6 km
233,35.5124824,129.4248523,34 mins,2.5 km
234,35.5031978,129.4236339,30 mins,1.3 km
235,35.5412327,129.4255549,45 mins,6.3 km
236,35.5087812,129.422977,34 mins,2.0 km
237,35.5033638,129.4222364,32 mins,1.9 km
238,35.5090128,129.4281712,38 mins,3.2 km
239,35.4856456,129.4151582,7 mins,1.6 km
240,35.5245375,129.4257048,47 mins,4.2 km
241,35.5078595,129.4242363,32 mins,1.8 km
242,35.4938737,129.4247226,9 mins,0.8 km
243,35.5295403,129.4310297,42 mins,4.9 km
244,35.4831983,129.4144643,11 mins,1.8 km
245,35.5032064,129.4234965,31 mins,1.3 km
246,35.5035547,129.4205482,32 mins,1.8 km
247,35.4971343,129.4195871,14 mins,1.1 km
248,35.5427422,129.4256177,48 mins,6.5 km
249,35.4907469,129.4231192,4 mins,0.5 km
250,35.5392169,129.423729,45 mins,6.3 km
251,35.5031978,129.4236339,30 mins,1.3 km
252,35.5018239,129.4243572,30 mins,1.3 km
253,35.498724,129.4194714,29 mins,1.1 km
254,35.4919048,129.4252516,8 mins,0.7 km
255,35.5288532,129.4311283,41 mins,4.8 km
256,35.5124824,129.4248523,34 mins,2.5 km
257,35.5074563,129.425402,32 mins,1.9 km
258,35.491885,129.4191418,6 mins,0.6 km
259,35.5135863,129.4275335,37 mins,2.8 km
260,35.5069943,129.422423,33 mins,1.9 km
261,35.5169781,129.427495,36 mins,3.1 km
262,35.494319,129.4205795,9 mins,0.8 km
263,35.4998651,129.4189226,31 mins,1.4 km
264,35.5425997,129.4267823,48 mins,6.5 km
265,35.5123435,129.4268322,36 mins,2.6 km
266,35.4925318,129.4193563,7 mins,0.6 km
267,35.4996171,129.4191627,30 mins,1.2 km
268,35.516312,129.4254017,36 mins,2.9 km
269,35.4897225,129.4288859,13 mins,1.0 km
270,35.5036516,129.4178776,33 mins,1.7 km
271,35.4867197,129.4253168,9 mins,1.0 km
272,35.4868345,129.4250428,8 mins,1.0 km
273,35.5016773,129.4216494,33 mins,1.6 km
274,35.5063638,129.4202998,36 mins,2.0 km
275,35.4994351,129.4214621,31 mins,0.9 km
276,35.4994351,129.4214621,31 mins,0.9 km
277,35.4836293,129.4147943,10 mins,1.8 km
278,35.5441321,129.4279135,51 mins,6.7 km
279,35.5037495,129.4190721,32 mins,1.7 km
280,35.4995246,129.4207833,30 mins,1.2 km
281,35.5078091,129.4250418,32 mins,1.9 km
282,35.4922716,129.4236835,6 mins,0.6 km
283,35.54438409999999,129.4255994,51 mins,6.7 km
284,35.5412327,129.4255549,45 mins,6.3 km
285,35.5124824,129.4248523,34 mins,2.5 km
286,35.5137057,129.4280681,38 mins,2.8 km
287,35.5034891,129.4212308,33 mins,1.9 km
288,35.513869,129.4241109,35 mins,2.7 km
289,35.503298,129.42282,32 mins,1.4 km
