,위도,경도,시간,거리
0,35.56075734,129.378178,50 mins,12.1 km
1,35.58665093,129.3616127,38 mins,7.3 km
2,35.63144191,129.4350092,1 hour 39 mins,21.1 km
3,35.62375059,129.4313014,1 hour 46 mins,20.9 km
4,35.63277988,129.3388513,26 mins,2.3 km
5,35.54557514,129.3866879,1 hour 1 min,14.5 km
6,35.63101004,129.3305407,47 mins,5.3 km
7,35.5914569,129.3658412,42 mins,7.9 km
8,35.59019598,129.3693918,43 mins,8.0 km
9,35.64975237,129.3524249,19 mins,3.1 km
10,35.59529953,129.3700214,47 mins,6.8 km
11,35.5636665,129.3749966,54 mins,12.3 km
12,35.53321949,129.3911747,1 hour 1 min,15.3 km
13,35.62135442,129.355958,18 mins,3.5 km
14,35.63461073,129.3647526,21 mins,1.4 km
15,35.62997804,129.3565489,22 mins,2.8 km
16,35.63377213,129.3473276,15 mins,1.9 km
17,35.60232961,129.3693047,49 mins,7.1 km
18,35.64415277,129.350233,10 mins,0.7 km
19,35.58630376,129.3692758,42 mins,8.2 km
20,35.63274613,129.3408015,24 mins,2.5 km
21,35.62962384,129.4349346,1 hour 39 mins,20.8 km
22,35.63168139,129.3413562,24 mins,2.5 km
23,35.6316884,129.3299606,46 mins,5.2 km
24,35.56362477,129.3583245,1 hour 2 mins,10.6 km
25,35.64485557,129.3493936,12 mins,0.8 km
26,35.63415668,129.3340704,41 mins,4.3 km
27,35.62782477,129.3299248,49 mins,4.6 km
28,35.59777915,129.364027,46 mins,7.2 km
29,35.64481395,129.3595287,15 mins,0.8 km
30,35.63192969,129.3288462,44 mins,5.1 km
31,35.55923755,129.3787986,52 mins,12.2 km
32,35.62375059,129.4313014,1 hour 46 mins,20.9 km
33,35.63056594,129.3550384,20 mins,2.6 km
34,35.64418712,129.3605747,15 mins,0.8 km
35,35.63966105,129.3294745,41 mins,2.5 km
36,35.63275915,129.435202,1 hour 39 mins,21.1 km
37,35.66117868,129.344286,32 mins,4.3 km
38,35.64125083,129.3497366,12 mins,1.2 km
39,35.59580651,129.3675358,47 mins,6.8 km
40,35.65832707,129.3391358,25 mins,3.9 km
41,35.65878666,129.3541754,28 mins,2.2 km
42,35.62568723,129.3553432,20 mins,3.4 km
43,35.55318869,129.3563671,1 hour 16 mins,12.2 km
44,35.58935749,129.3608359,37 mins,7.2 km
45,35.58514247,129.360901,45 mins,7.9 km
46,35.64721036,129.3421108,19 mins,2.7 km
47,35.63421792,129.358391,19 mins,1.3 km
48,35.64511,129.3516066,16 mins,0.8 km
49,35.6310372,129.3386228,29 mins,2.8 km
50,35.4799329,129.409297,1 hour 35 mins,27.8 km
51,35.6368957,129.3622757,15 mins,1.0 km
52,35.6445015,129.3554903,12 mins,0.5 km
53,35.6447045,129.3511737,14 mins,0.7 km
54,35.6500343,129.3595097,16 mins,2.4 km
55,35.6283785,129.3512006,16 mins,2.8 km
56,35.5332545,129.39085,1 hour 0 mins,15.3 km
57,35.5933095,129.3655351,48 mins,6.8 km
58,35.6440339,129.3483275,12 mins,0.9 km
59,35.6333746,129.3336891,41 mins,4.3 km
60,35.5900835,129.3672222,40 mins,7.8 km
61,35.6309674,129.3375436,42 mins,4.1 km
62,35.632014,129.4378682,1 hour 37 mins,21.0 km
63,35.632014,129.4378682,1 hour 37 mins,21.0 km
64,35.6302157,129.4384392,1 hour 38 mins,20.7 km
65,35.632014,129.4378682,1 hour 37 mins,21.0 km
66,35.632014,129.4378682,1 hour 37 mins,21.0 km
67,35.632014,129.4378682,1 hour 37 mins,21.0 km
68,35.5455315,129.3847843,59 mins,13.8 km
69,35.5840067,129.366221,40 mins,8.0 km
70,35.6334725,129.3326834,43 mins,4.4 km
71,35.533779,129.3905477,59 mins,15.2 km
72,35.5998616,129.3696374,54 mins,7.3 km
73,35.6339272,129.3247409,47 mins,5.9 km
74,35.5937909,129.3639147,42 mins,7.0 km
75,35.6333746,129.3336891,41 mins,4.3 km
76,35.645495,129.3464908,16 mins,1.1 km
77,35.6244588,129.4368984,1 hour 37 mins,20.4 km
78,35.6311165,129.3524221,16 mins,2.4 km
79,35.5853228,129.3692776,42 mins,8.2 km
80,35.587813,129.3653021,37 mins,7.6 km
81,35.6352419,129.3306025,43 mins,4.7 km
82,35.6314139,129.3354515,39 mins,3.9 km
83,35.5851824,129.363754,40 mins,8.0 km
84,35.6310709,129.3500716,15 mins,2.3 km
85,35.6388218,129.3306203,40 mins,2.4 km
86,35.633271,129.3339381,41 mins,4.3 km
87,35.632733,129.3484934,16 mins,2.0 km
88,35.6626192,129.3389572,25 mins,4.4 km
89,35.6310709,129.3500716,15 mins,2.3 km
90,35.6302517,129.33987,39 mins,3.4 km
91,35.5933095,129.3655351,48 mins,6.8 km
92,35.5853529,129.3673123,39 mins,8.0 km
93,35.5864867,129.3672923,39 mins,8.0 km
94,35.64511,129.3516066,16 mins,0.8 km
95,35.633271,129.3339381,41 mins,4.3 km
96,35.6310938,129.3484893,17 mins,2.4 km
97,35.593437,129.3666761,46 mins,6.7 km
98,35.6337552,129.363572,21 mins,1.4 km
99,35.6548634,129.3505346,20 mins,3.6 km
100,35.6530982,129.3490112,19 mins,3.5 km
101,35.5851804,129.3636168,40 mins,8.1 km
102,35.661486,129.3422141,27 mins,4.5 km
103,35.6319606,129.3479352,17 mins,2.4 km
104,35.6014868,129.3653166,49 mins,6.7 km
105,35.553322,129.3551647,1 hour 18 mins,12.3 km
106,35.6244588,129.4368984,1 hour 37 mins,20.4 km
107,35.64511,129.3516066,16 mins,0.8 km
108,35.5888171,129.3673956,39 mins,7.7 km
109,35.6376159,129.438881,1 hour 40 mins,21.6 km
110,35.6340482,129.3322063,44 mins,4.4 km
111,35.6324957,129.3505715,15 mins,2.3 km
112,35.6310372,129.3386228,29 mins,2.8 km
113,35.5325609,129.3914185,1 hour 2 mins,15.8 km
114,35.6400044,129.3593559,10 mins,0.6 km
115,35.5523858,129.3573748,1 hour 14 mins,12.1 km
116,35.6434048,129.3584744,12 mins,0.7 km
117,35.6355818,129.3328164,44 mins,4.5 km
118,35.6288227,129.3446067,24 mins,2.5 km
119,35.5322651,129.3917831,1 hour 2 mins,15.8 km
120,35.5888198,129.3668631,38 mins,7.7 km
121,35.6317324,129.3335241,42 mins,4.1 km
122,35.6292362,129.3568177,37 mins,2.7 km
123,35.6350973,129.36423,19 mins,1.3 km
124,35.654594,129.3514165,21 mins,3.9 km
125,35.5925055,129.3592437,35 mins,6.5 km
126,35.5408291,129.3862175,57 mins,14.3 km
127,35.6429218,129.3500953,10 mins,0.7 km
128,35.6310938,129.3484893,17 mins,2.4 km
129,35.644772,129.3531122,13 mins,0.7 km
130,35.5610076,129.3600307,1 hour 11 mins,11.0 km
131,35.6339718,129.332752,43 mins,4.4 km
132,35.587813,129.3653021,37 mins,7.6 km
133,35.6334725,129.3326834,43 mins,4.4 km
134,35.5533014,129.3578331,1 hour 16 mins,12.1 km
135,35.6447045,129.3511737,14 mins,0.7 km
136,35.6433887,129.3525812,12 mins,0.6 km
137,35.592409,129.3677841,46 mins,6.7 km
138,35.6437215,129.3544276,11 mins,0.4 km
139,35.6577681,129.3427958,29 mins,4.1 km
140,35.6577681,129.3427958,29 mins,4.1 km
141,35.5560924,129.3554267,1 hour 17 mins,11.8 km
142,35.6379048,129.4369727,1 hour 41 mins,21.7 km
143,35.6351117,129.3636903,19 mins,1.3 km
144,35.6286714,129.3512378,17 mins,2.8 km
145,35.645495,129.3464908,16 mins,1.1 km
146,35.5329503,129.3911711,1 hour 1 min,15.3 km
147,35.589816,129.359309,37 mins,7.2 km
148,35.6414996,129.3479624,11 mins,1.1 km
149,35.5915434,129.3636104,43 mins,8.0 km
150,35.6226859,129.3582224,21 mins,3.7 km
151,35.5982135,129.3684166,43 mins,7.9 km
152,35.6525756,129.3488892,20 mins,3.6 km
153,35.6428545,129.3580929,11 mins,0.6 km
154,35.632014,129.4378682,1 hour 37 mins,21.0 km
155,35.6349397,129.3641619,20 mins,1.3 km
156,35.6418752,129.3615052,13 mins,0.9 km
157,35.6314139,129.3354515,39 mins,3.9 km
158,35.55377740000001,129.354999,1 hour 14 mins,12.3 km
159,35.55377740000001,129.354999,1 hour 14 mins,12.3 km
160,35.6351023,129.3632113,19 mins,1.3 km
161,35.6334725,129.3326834,43 mins,4.4 km
162,35.54489600000001,129.3851504,59 mins,14.4 km
163,35.6431841,129.3491129,11 mins,0.8 km
164,35.6375541,129.3248141,51 mins,5.2 km
165,35.6019903,129.3635001,46 mins,6.5 km
166,35.6019903,129.3635001,46 mins,6.5 km
167,35.5526835,129.3574523,1 hour 15 mins,12.1 km
168,35.6310372,129.3386228,29 mins,2.8 km
169,35.632014,129.4378682,1 hour 37 mins,21.0 km
170,35.6352419,129.3306025,43 mins,4.7 km
171,35.6447045,129.3511737,14 mins,0.7 km
172,35.5543969,129.3584626,1 hour 14 mins,11.6 km
173,35.6447045,129.3511737,14 mins,0.7 km
174,35.6433887,129.3525812,12 mins,0.6 km
175,35.6434048,129.3584744,12 mins,0.7 km
176,35.6439558,129.3546677,11 mins,0.5 km
177,35.64511,129.3516066,16 mins,0.8 km
178,35.6447045,129.3511737,14 mins,0.7 km
179,35.6351117,129.3636903,19 mins,1.3 km
180,35.6434048,129.3584744,12 mins,0.7 km
181,35.6418752,129.3615052,13 mins,0.9 km
182,35.64511,129.3516066,16 mins,0.8 km
183,35.645495,129.3464908,16 mins,1.1 km
184,35.641794,129.3570996,9 mins,0.5 km
185,35.6390829,129.3620121,12 mins,0.9 km
186,35.6334725,129.3326834,43 mins,4.4 km
187,35.6331408,129.334248,41 mins,4.2 km
188,35.59144750000001,129.363759,42 mins,7.9 km
189,35.631145,129.3375465,42 mins,4.1 km
190,35.5529535,129.3577705,1 hour 15 mins,12.1 km
191,35.6447045,129.3511737,14 mins,0.7 km
192,35.6334725,129.3326834,43 mins,4.4 km
193,35.6534725,129.3491759,18 mins,3.5 km
194,35.5560982,129.354801,1 hour 18 mins,11.9 km
195,35.5933095,129.3655351,48 mins,6.8 km
196,35.6434048,129.3584744,12 mins,0.7 km
197,35.6334725,129.3326834,43 mins,4.4 km
198,35.5536204,129.3575589,1 hour 16 mins,12.2 km
199,35.5521401,129.3575084,1 hour 14 mins,12.0 km
200,35.552023,129.3572416,1 hour 14 mins,12.0 km
201,35.556348,129.3548321,1 hour 18 mins,11.9 km
202,35.5539245,129.3566167,1 hour 17 mins,12.2 km
203,35.5540259,129.3520035,1 hour 17 mins,12.5 km
204,35.5540072,129.3571915,1 hour 16 mins,11.7 km
205,35.553322,129.3551647,1 hour 18 mins,12.3 km
206,35.6434048,129.3584744,12 mins,0.7 km
207,35.5329503,129.3911711,1 hour 1 min,15.3 km
208,35.630435,129.3403839,39 mins,3.4 km
209,35.6340482,129.3322063,44 mins,4.4 km
210,35.6302517,129.33987,39 mins,3.4 km
211,35.6340169,129.3333011,42 mins,4.3 km
212,35.6414996,129.3479624,11 mins,1.1 km
213,35.59680609999999,129.3652599,42 mins,7.7 km
214,35.5968979,129.3662768,41 mins,7.6 km
215,35.6400675,129.3484056,11 mins,1.1 km
216,35.6379868,129.3273607,49 mins,5.1 km
217,35.6414996,129.3479624,11 mins,1.1 km
218,35.6244588,129.4368984,1 hour 37 mins,20.4 km
