,위도,경도,시간,거리
0,36.28815009,127.2299894,38 mins,1.8 km
1,36.27086541,127.2458223,35 mins,3.8 km
2,36.28215807,127.2362853,25 mins,1.3 km
3,36.29915948,127.2444573,27 mins,2.8 km
4,36.30064433,127.2441239,29 mins,2.7 km
5,36.29430921,127.2447646,28 mins,3.3 km
6,36.28670185,127.2373852,25 mins,0.9 km
7,36.26755868,127.2551156,33 mins,4.4 km
8,36.2696785,127.2695559,47 mins,8.9 km
9,36.26810412,127.258139,32 mins,4.3 km
10,36.2898126,127.2419193,23 mins,0.9 km
11,36.2737314,127.2518417,28 mins,3.1 km
12,36.2724864,127.2505424,28 mins,3.3 km
13,36.2900189,127.2430023,21 mins,0.8 km
14,36.2724864,127.2505424,28 mins,3.3 km
15,36.2888172,127.2415063,24 mins,0.9 km
16,36.2705487,127.2486669,32 mins,3.6 km
17,36.2891255,127.2403122,25 mins,0.9 km
18,36.2689835,127.2571036,31 mins,4.2 km
19,36.2885576,127.2424905,23 mins,0.7 km
20,36.2734723,127.2516303,28 mins,3.1 km
21,36.2897786,127.2426373,22 mins,0.8 km
22,36.29005230000001,127.2420658,22 mins,0.8 km
23,36.2737314,127.2518417,28 mins,3.1 km
24,36.27319019999999,127.2544133,32 mins,4.0 km
25,36.2856114,127.23673,26 mins,1.0 km
26,36.2724864,127.2505424,28 mins,3.3 km
27,36.2885576,127.2424905,23 mins,0.7 km
28,36.2897786,127.2426373,22 mins,0.8 km
29,36.2822904,127.2387991,22 mins,1.1 km
30,36.2705487,127.2486669,32 mins,3.6 km
31,36.2724864,127.2505424,28 mins,3.3 km
32,36.2891255,127.2403122,25 mins,0.9 km
33,36.2827971,127.2372745,24 mins,1.2 km
34,36.2951684,127.2426139,29 mins,3.5 km
35,36.2680153,127.2710608,47 mins,8.9 km
36,36.2692138,127.2717791,44 mins,8.8 km
37,36.2686558,127.2670593,49 mins,8.6 km
38,36.2694546,127.2568223,32 mins,4.3 km
39,36.2694546,127.2568223,32 mins,4.3 km
40,36.2858937,127.2370562,26 mins,0.9 km
41,36.2850484,127.2371714,30 mins,1.1 km
42,36.2720841,127.2485801,31 mins,3.5 km
43,36.2705487,127.2486669,32 mins,3.6 km
44,36.2897786,127.2426373,22 mins,0.8 km
45,36.2697293,127.2651696,47 mins,8.4 km
46,36.2715829,127.2466983,33 mins,3.7 km
47,36.2697293,127.2651696,47 mins,8.4 km
48,36.2892109,127.2397826,25 mins,0.9 km
49,36.2692138,127.2717791,44 mins,8.8 km
50,36.2859351,127.2368976,26 mins,1.0 km
