,위도,경도,시간,거리
0,36.80407168,126.7786054,1 hour 37 mins,20.8 km
1,36.85241021,126.706178,58 mins,12.4 km
2,36.90004426,126.6407478,11 mins,1.0 km
3,37.0118307,126.5327815,1 hour 28 mins,21.8 km
4,36.8133825,126.7624107,1 hour 31 mins,19.4 km
5,36.79091841,126.7874361,1 hour 39 mins,22.8 km
6,36.90220954,126.6389171,4 mins,0.7 km
7,36.96039897,126.6948977,59 mins,10.4 km
8,36.76300799,126.7653217,2 hours 7 mins,27.2 km
9,36.89952977,126.5092123,1 hour 27 mins,16.7 km
10,36.90209392,126.6937158,27 mins,5.5 km
11,36.91658244,126.7047622,30 mins,7.3 km
12,36.88280457,126.6397174,31 mins,4.6 km
13,36.87735114,126.5730354,1 hour 1 min,13.9 km
14,36.89847725,126.6392846,14 mins,1.5 km
15,36.89181359,126.6334616,19 mins,3.0 km
16,36.89181424,126.6242637,11 mins,2.6 km
17,36.90930752,126.749578,1 hour 16 mins,15.9 km
18,36.95857344,126.7697651,1 hour 15 mins,16.5 km
19,36.89972495,126.639123,7 mins,1.2 km
20,36.85615745,126.5541835,1 hour 15 mins,19.1 km
21,36.90137115,126.5000496,1 hour 24 mins,22.1 km
22,36.95731451,126.5727152,1 hour 11 mins,12.5 km
23,36.89207275,126.6246862,10 mins,2.6 km
24,36.93634843,126.5939222,49 mins,9.3 km
25,36.79274595,126.7877866,1 hour 37 mins,22.6 km
26,36.88036049,126.7553747,54 mins,12.3 km
27,36.83666229,126.6051168,1 hour 6 mins,13.2 km
28,36.93193222,126.6791646,44 mins,9.5 km
29,36.93625546,126.6500418,45 mins,8.4 km
30,36.84264269,126.7104664,1 hour 1 min,13.9 km
31,36.89736111,126.6231851,27 mins,3.6 km
32,36.85027732,126.7643702,1 hour 12 mins,15.5 km
33,36.81914558,126.6629937,53 mins,13.5 km
34,36.89272189,126.6213256,15 mins,2.9 km
35,36.88633871,126.7721767,1 hour 0 mins,14.4 km
36,36.98699237,126.5893859,1 hour 6 mins,15.3 km
37,36.89006508,126.6521224,20 mins,1.8 km
38,36.88903305,126.6520299,20 mins,1.9 km
39,36.81339746,126.7602994,1 hour 30 mins,19.3 km
40,36.934811,126.6859161,48 mins,10.1 km
41,36.81044064,126.7545521,1 hour 39 mins,22.8 km
42,36.9406386,126.7432868,47 mins,12.1 km
43,36.9930801,126.5104722,1 hour 24 mins,26.6 km
44,36.82534136,126.7888095,1 hour 49 mins,24.3 km
45,36.81339746,126.7602994,1 hour 30 mins,19.3 km
46,36.88305267,126.7615205,58 mins,13.1 km
47,36.93677371,126.5916532,48 mins,9.2 km
48,36.89356137,126.8052742,1 hour 31 mins,20.9 km
49,36.8178116,126.6626079,51 mins,13.4 km
50,36.91658244,126.7047622,30 mins,7.3 km
51,37.01333046,126.539239,1 hour 21 mins,20.9 km
53,36.88245998,126.7601596,58 mins,13.1 km
54,36.8133825,126.7624107,1 hour 31 mins,19.4 km
55,36.899987,126.6373826,4 mins,1.0 km
56,36.8926509,126.62708,9 mins,2.3 km
57,36.8948898,126.6304278,7 mins,2.0 km
58,36.898623,126.6274537,15 mins,2.4 km
59,36.9003779,126.6918212,26 mins,5.0 km
60,36.9007161,126.6369474,4 mins,1.0 km
61,36.9009863,126.641069,4 mins,0.6 km
62,36.9008371,126.6400711,4 mins,0.6 km
63,36.8967712,126.6257407,14 mins,2.3 km
64,36.881097,126.7553182,55 mins,12.3 km
65,36.8810918,126.7532635,55 mins,12.3 km
66,36.8808943,126.7547178,54 mins,12.3 km
68,36.898457,126.6320329,9 mins,1.7 km
69,36.8990504,126.6258404,17 mins,2.5 km
70,36.8802241,126.754196,53 mins,12.2 km
71,36.8956499,126.6309858,9 mins,2.0 km
72,36.90083670000001,126.6404253,4 mins,0.6 km
73,36.9013402,126.6974356,30 mins,5.7 km
75,36.89336979999999,126.6296008,9 mins,2.1 km
76,36.8939835,126.6309722,15 mins,2.4 km
77,36.9015611,126.6408044,3 mins,0.6 km
78,36.9011956,126.6400638,3 mins,0.6 km
79,36.8815389,126.7555106,54 mins,12.5 km
80,36.9015585,126.6405021,3 mins,0.6 km
81,36.8972723,126.6376259,16 mins,2.0 km
82,36.8972723,126.6376259,16 mins,2.0 km
83,36.9356806,126.5946313,51 mins,9.4 km
84,36.8986795,126.6361998,7 mins,1.4 km
85,36.9008353,126.6402526,4 mins,0.6 km
86,36.8798832,126.7537398,54 mins,12.3 km
87,36.9015598,126.6406533,3 mins,0.6 km
88,36.8926984,126.6266244,9 mins,2.3 km
89,36.8994561,126.6217701,30 mins,3.6 km
90,36.9014818,126.6930032,27 mins,5.0 km
91,36.90592669999999,126.6424393,12 mins,1.3 km
92,36.8980353,126.6393755,14 mins,1.5 km
93,36.9050334,126.643192,12 mins,1.2 km
94,36.9013462,126.6412283,4 mins,0.6 km
95,36.8983837,126.6365835,7 mins,1.5 km
96,36.9217264,126.6604652,32 mins,4.4 km
97,36.902092,126.6930106,27 mins,5.5 km
98,36.901415,126.6933793,28 mins,5.6 km
99,36.8982906,126.6362671,6 mins,1.4 km
100,36.8912404,126.6211909,15 mins,2.9 km
101,36.8913675,126.6345414,20 mins,3.1 km
102,37.0139524,126.5387034,1 hour 21 mins,21.1 km
103,36.8962274,126.6335049,7 mins,1.6 km
104,36.890711,126.6327051,17 mins,2.9 km
105,36.9040881,126.6925381,25 mins,5.4 km
106,36.9040881,126.6925381,25 mins,5.4 km
108,36.9044184,126.6938581,23 mins,5.3 km
109,36.9011957,126.6402481,3 mins,0.6 km
110,36.9009795,126.640251,4 mins,0.6 km
111,36.9014818,126.6930032,27 mins,5.0 km
112,36.8920266,126.6302827,18 mins,2.6 km
113,36.8920266,126.6302827,18 mins,2.6 km
114,36.8920266,126.6302827,18 mins,2.6 km
115,36.9009835,126.6407464,4 mins,0.6 km
116,36.898519,126.6359635,6 mins,1.4 km
117,36.8846526,126.7743403,1 hour 2 mins,14.6 km
118,36.8917832,126.6367629,20 mins,2.9 km
119,36.9013397,126.640246,3 mins,0.6 km
120,36.8952868,126.6206495,25 mins,3.5 km
121,36.9036784,126.6943252,24 mins,5.3 km
122,36.8937422,126.6299388,9 mins,2.0 km
123,36.8921689,126.6299513,11 mins,2.4 km
124,36.9032047,126.6925826,25 mins,5.4 km
125,36.9013367,126.6400617,3 mins,0.6 km
126,36.8925406,126.627166,9 mins,2.3 km
127,36.892673,126.6367452,21 mins,3.0 km
128,36.8943626,126.6295195,8 mins,2.0 km
129,36.8833143,126.6162487,39 mins,4.2 km
130,36.8989612,126.6236208,19 mins,2.6 km
131,36.8969593,126.6349819,7 mins,1.4 km
132,36.9013411,126.6404188,3 mins,0.6 km
133,36.89884190000001,126.6233864,32 mins,3.8 km
134,36.8798832,126.7537398,54 mins,12.3 km
135,36.8979429,126.6374613,8 mins,1.5 km
136,36.8910742,126.6248375,10 mins,2.6 km
137,36.902092,126.6930106,27 mins,5.5 km
138,36.896471,126.6385944,16 mins,1.6 km
139,36.8933379,126.6301004,16 mins,2.5 km
140,36.9011984,126.6405822,3 mins,0.6 km
141,36.8915867,126.630994,19 mins,3.0 km
142,36.8071238,126.7760879,1 hour 30 mins,20.4 km
143,36.8990504,126.6258404,17 mins,2.5 km
144,36.8983781,126.6368203,7 mins,1.5 km
145,36.8841527,126.768537,58 mins,13.8 km
146,36.8963655,126.6348731,8 mins,1.7 km
147,36.8919089,126.6148997,26 mins,4.2 km
148,36.9027298,126.6433036,3 mins,0.4 km
149,36.9405241,126.7478543,46 mins,12.3 km
150,36.8988446,126.6304863,11 mins,1.8 km
151,36.9418746,126.7809003,1 hour 16 mins,17.1 km
152,36.9393478,126.744908,44 mins,12.0 km
153,36.9012011,126.6409047,4 mins,0.6 km
154,36.8811027,126.7571995,57 mins,12.6 km
155,36.8945632,126.62937,8 mins,2.0 km
156,36.8964334,126.6232468,26 mins,3.5 km
157,36.9040014,126.6928921,24 mins,5.4 km
158,36.8952868,126.6206495,25 mins,3.5 km
159,36.9011998,126.6407434,3 mins,0.6 km
160,36.899105,126.6284719,14 mins,2.0 km
161,36.894521,126.6305117,8 mins,2.0 km
162,36.9038163,126.6935176,24 mins,5.3 km
163,36.8959633,126.633074,7 mins,1.6 km
164,36.9405241,126.7478543,46 mins,12.3 km
165,36.8973041,126.6384288,16 mins,1.6 km
166,36.903791,126.6969627,27 mins,5.5 km
167,36.9007161,126.6369474,4 mins,1.0 km
168,36.9217264,126.6604652,32 mins,4.4 km
169,36.8991975,126.6286735,13 mins,2.0 km
170,36.903791,126.6969627,27 mins,5.5 km
171,36.8081527,126.7753282,1 hour 28 mins,20.3 km
172,36.881848,126.7550724,54 mins,12.5 km
174,36.8959735,126.6242304,15 mins,2.7 km
175,36.9032047,126.6925826,25 mins,5.4 km
176,36.9032047,126.6925826,25 mins,5.4 km
177,36.9009849,126.6409076,4 mins,0.6 km
178,36.901415,126.6933793,28 mins,5.6 km
179,36.905055,126.6441781,13 mins,0.5 km
180,36.905055,126.6441781,13 mins,0.5 km
181,36.8079,126.7770599,1 hour 29 mins,20.4 km
182,36.8912251,126.6399206,17 mins,2.6 km
183,36.900838,126.6405865,4 mins,0.6 km
184,37.0125076,126.5395854,1 hour 23 mins,21.0 km
185,37.0125076,126.5395854,1 hour 23 mins,21.0 km
186,36.9015611,126.6408044,3 mins,0.6 km
187,36.9403776,126.7455214,46 mins,12.3 km
188,36.9013465,126.6410639,4 mins,0.6 km
189,36.896043,126.6332051,7 mins,1.6 km
190,36.9055432,126.6422238,12 mins,1.2 km
191,36.9217264,126.6604652,32 mins,4.4 km
192,36.904987,126.6972197,27 mins,5.5 km
193,36.8430578,126.7142057,59 mins,13.5 km
194,36.879779,126.7543534,53 mins,12.2 km
195,36.9059616,126.6422049,12 mins,1.3 km
196,36.8416284,126.7096426,1 hour 1 min,14.2 km
197,36.901415,126.6933793,28 mins,5.6 km
198,36.8942025,126.6312224,9 mins,2.0 km
199,36.8927351,126.6263648,10 mins,2.3 km
200,36.9008393,126.6407477,4 mins,0.6 km
201,36.9636478,126.6935244,1 hour 4 mins,10.8 km
202,36.8980355,126.6389045,15 mins,1.5 km
203,36.9415995,126.7814897,1 hour 16 mins,17.1 km
204,36.904987,126.6972197,27 mins,5.5 km
205,36.899105,126.6284719,14 mins,2.0 km
206,36.9024546,126.6407222,4 mins,0.6 km
207,37.0138916,126.5379247,1 hour 20 mins,21.0 km
208,36.9013451,126.6409026,3 mins,0.6 km
209,36.8980693,126.6374627,8 mins,1.5 km
210,36.9008407,126.640909,4 mins,0.6 km
211,36.9059616,126.6422049,12 mins,1.3 km
212,36.902092,126.6930106,27 mins,5.5 km
213,36.9013411,126.6404188,3 mins,0.6 km
214,36.8075054,126.7749908,1 hour 30 mins,20.4 km
215,36.879779,126.7543534,53 mins,12.2 km
216,36.96391610000001,126.6875909,1 hour 5 mins,12.6 km
217,36.89909129999999,126.6350839,7 mins,1.4 km
218,36.901415,126.6933793,28 mins,5.6 km
219,36.9403776,126.7455214,46 mins,12.3 km
220,36.8949589,126.6198073,26 mins,3.7 km
221,36.8808671,126.7533007,55 mins,12.3 km
222,36.8814301,126.7554599,55 mins,12.5 km
223,36.8905493,126.6340344,19 mins,3.0 km
